Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Высота потолков,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Жилая площадь,Дополнительно,Стоимость ремонта,В доме,Запланирован снос
16000000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_561_m_1925_et._7719215496?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,2,56.1 м²,27.4 м²,19 из 25,"балкон, лоджия",изолированные,совмещенный,"во двор, на улицу",евро,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитно-кирпичный,2017,25,1,2,"закрытая территория, детская площадка, спортивная площадка","подземная, наземная многоуровневая",2.8 м,,,,,,15.4 м²,"гардеробная, панорамные окна",,,
56000000,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_1459_m_45_et._7505397266?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,4,145.9 м²,9.9 м²,4 из 5,,изолированные,"совмещенный, раздельный","во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,,кирпичный,1910,5,нет,нет,закрытая территория,,3 м,,,,,,103.3 м²,гардеробная,,газ,
6390000,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_261_m_725_et._7585307659?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,студия,26.1 м²,,7 из 25,лоджия,,совмещенный,,евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,,монолитный,2018,25,1,1,"закрытая территория, детская площадка, спортивная площадка",,2.7 м,,,,,,20.3 м²,,,,
6400000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_291_m_35_et._7830039327?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,1,29.1 м²,5.4 м²,3 из 5,,,совмещенный,на улицу,евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, водонагреватель",свободная,возможна ипотека,кирпичный,1966,5,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,2.6 м,,,,,,16.4 м²,,,газ,
15400000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_384_m_219_et._7709691059?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,2,38.4 м²,7.9 м²,2 из 19,,изолированные,совмещенный,во двор,дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитно-кирпичный,2020,19,2,1,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",2.8 м,,,,,,20.3 м²,,,,
7500000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_48_m_19_et._7680019646?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,2,48 м²,8 м²,1 из 9,"балкон, лоджия",изолированные,раздельный,во двор,косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,блочный,1974,9,1,нет,,открытая во дворе,2.6 м,,,,,,28 м²,,от 617 000 ₽ за 48 м²,мусоропровод,
25500000,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_112_m_55_et._4050671175?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,4,112 м²,10 м²,5 из 5,,изолированные,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,альтернативная,возможна ипотека,кирпичный,1956,5,нет,нет,,открытая во дворе,3 м,,,,,,69 м²,,от 2 240 000 ₽ за 112 м²,газ,
14000000,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_641_m_29_et._7772677553?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,3,64.1 м²,6.2 м²,2 из 9,лоджия,изолированные,раздельный,во двор,дизайнерский,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,панельный,1978,9,1,нет,детская площадка,открытая во дворе,2.6 м,,,,,,46.9 м²,,,"мусоропровод, газ",
18380000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_735_m_56_et._4677658077?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,2,73.5 м²,9 м²,5 из 6,,смежные,совмещенный,во двор,евро,есть,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,кирпичный,1912,6,нет,нет,,открытая во дворе,3.2 м,,,,,,50.4 м²,,,газ,
8100000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_357_m_227_et._4591415720?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,1,35.7 м²,10.9 м²,2 из 27,,,совмещенный,"на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,монолитно-кирпичный,2014,27,2,1,"детская площадка, спортивная площадка","подземная, открытая во дворе",2.6 м,,,,,,14.7 м²,гардеробная,от 459 000 ₽ за 35.7 м²,,
11000000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_327_m_920_et._4389169077?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,1,32.7 м²,12.6 м²,9 из 20,балкон,,совмещенный,"на улицу, на солнечную сторону",евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина, водонагреватель",свободная,возможна ипотека,монолитный,2022,20,1,1,"закрытая территория, детская площадка, спортивная площадка",наземная многоуровневая,,,,,,,9.9 м²,гардеробная,,,
4900000,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_235_m_1724_et._7777879365?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,студия,23.5 м²,,17 из 24,балкон,,совмещенный,во двор,косметический,,кухня,"холодильник, стиральная машина",свободная,возможна ипотека,монолитно-кирпичный,,24,2,1,детская площадка,,,,,,,,12 м²,,от 302 000 ₽ за 23.5 м²,,
10500000,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_397_m_910_et._7526900791?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,1,39.7 м²,9.7 м²,9 из 10,лоджия,,совмещенный,во двор,косметический,,,,свободная,возможна ипотека,кирпичный,2006,10,нет,1,,,,,,,,,16.6 м²,,,мусоропровод,
8500000,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_242_m_1115_et._7785609132?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,студия,24.2 м²,,11 из 15,лоджия,,совмещенный,во двор,евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",свободная,возможна ипотека,монолитный,2020,15,1,1,закрытая территория,,2.8 м,,,,,,16 м²,,,,
7600000,https://www.avito.ru/sankt-peterburg_sestroretsk/kvartiry/1-k._kvartira_321_m_69_et._7778791831?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,1,32.1 м²,6.3 м²,6 из 9,,,раздельный,во двор,косметический,,кухня,,свободная,возможна ипотека,панельный,1983,9,1,нет,детская площадка,открытая во дворе,2.6 м,,,,,,18.9 м²,гардеробная,от 413 000 ₽ за 32.1 м²,"мусоропровод, газ",
12850000,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_554_m_1316_et._7633127510?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCUnVobTJob3YyOHpZRENpIjt9rVNOdD8AAAA,2,55.4 м²,7.5 м²,13 из 16,балкон,изолированные,раздельный,"во двор, на улицу, на солнечную сторону",евро,,"кухня, хранение одежды, спальные места",посудомоечная машина,свободная,возможна ипотека,кирпичный,1978,16,1,1,"детская площадка, спортивная площадка",открытая во дворе,2.7 м,,,,,,30.5 м²,"гардеробная, панорамные окна",,консьерж,
