Цена,Ссылка,Количество комнат,Общая площадь,Жилая площадь,Этаж,Балкон или лоджия,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Запланирован снос,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Площадь кухни,Тип комнат,Отделка,Название новостройки,Тип участия,Срок сдачи,"Корпус, строение",Стоимость ремонта,Дополнительно,В доме
3550000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_31_m_19_et._7801198015?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,1,31 м²,20 м²,1 из 9,лоджия,2.5 м,совмещенный,,требует ремонта,,,,альтернативная,возможна ипотека,панельный,1977,,9,1,нет,,открытая во дворе,7 м²,,,,,,,от 434 000 ₽ за 31 м²,,
5000000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_41_m_1017_et._7660366692?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,1,41 м²,21 м²,10 из 17,,,,,косметический,,,,свободная,возможна ипотека,монолитно-кирпичный,2012,,17,1,1,,открытая во дворе,9.5 м²,,,,,,,,,
2740000.0,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_178_m_39_et._7801676161?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,студия,17.8 м²,12 м²,3 из 9,,,совмещенный,"во двор, на улицу",евро,,,,свободная,возможна ипотека,кирпичный,1979,,9,,,,,,,,,,,,,,
10750000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_487_m_1725_et._7543772540?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,1,48.7 м²,31.6 м²,17 из 25,лоджия,2.7 м,совмещенный,на улицу,евро,,,,свободная,возможна ипотека,монолитно-кирпичный,2024,,25,,,,открытая во дворе,3.4 м²,,,,,,,,,
11750000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_828_m_916_et._4762211453?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,82.8 м²,37 м²,9 из 16,балкон,2.6 м,раздельный,,евро,,,,свободная,возможна ипотека,монолитный,2008,,16,1,нет,,открытая во дворе,16.2 м²,изолированные,,,,,,,,
5500000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_498_m_22_et._7449535966?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,49.8 м²,29.2 м²,2 из 2,лоджия,2.7 м,совмещенный,,евро,,,,свободная,возможна ипотека,монолитный,2022,,2,3,3,,открытая во дворе,9.6 м²,изолированные,,,,,,,,газ
27550000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_673_m_1223_et._4792436482?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,3,67.3 м²,40.7 м²,12 из 23,лоджия,2.8 м,совмещенный,на улицу,дизайнерский,,,,свободная,возможна ипотека,монолитно-кирпичный,2019,,23,1,1,,подземная,11 м²,изолированные,,,,,,,,
6900000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_451_m_16_et._7660353944?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,45.1 м²,,1 из 6,,,совмещенный,,евро,,,,свободная,возможна ипотека,кирпичный,2004,,6,,,,,10 м²,изолированные,,,,,,,,
2950000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_317_m_19_et._7801168736?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,1,31.7 м²,15.5 м²,1 из 9,лоджия,2.5 м,совмещенный,во двор,требует ремонта,,,,свободная,возможна ипотека,кирпичный,1967,,9,1,нет,,,7 м²,,,,,,,от 444 000 ₽ за 31.7 м²,,
16500000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_569_m_39_et._7724081407?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,3,56.9 м²,,3 из 9,лоджия,2.8 м,совмещенный,,дизайнерский,,,,свободная,возможна ипотека,кирпичный,,,9,1,1,,,18.9 м²,смежные,,,,,,,,
