Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Дополнительно,Тип комнат,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Техника,Отделка,Название новостройки,Тип участия,Срок сдачи,Стоимость ремонта,Запланирован снос,"Корпус, строение"
11500000.0,https://www.avito.ru/kazan/kvartiry/2-k._kvartira_507_m_29_et._7582357611?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,2,50.7 м²,6.8 м²,30 м²,2 из 9,,,изолированные,2.5 м,раздельный,"во двор, на улицу",косметический,,,свободная,возможна ипотека,кирпичный,,9,1,нет,газ,,,,,,,,от 232 000 ₽ за 50.7 м²,,
28100000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_67_m_320_et._7634990762?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,3,67 м²,16 м²,50 м²,3 из 20,,,изолированные,3.3 м,совмещенный,,евро,,,свободная,,монолитно-кирпичный,2021,20,1,1,консьерж,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",,,,,,,,
31722750.0,https://www.avito.ru/kazan/kvartiry/1-k._kvartira_552_m_56_et._7809901498?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,1,55.2 м²,10 м²,,5 из 6,балкон,панорамные окна,,2.9 м,совмещенный,"во двор, на солнечную сторону",,,,договор долевого участия,возможна ипотека,монолитно-кирпичный,,6,2,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,без отделки,ЖК «Promenade»,ДДУ по ФЗ 214,Сдача в 2 кв. 2027,,,Корпус 6
14890000.0,https://www.avito.ru/kazan/kvartiry/2-k._kvartira_47_m_1516_et._7660549618?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,2,47 м²,20 м²,25 м²,15 из 16,лоджия,,изолированные,,раздельный,во двор,евро,,,свободная,,монолитный,2017,16,,,,,,,,,,,,,
12700000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_708_m_55_et._7655236957?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,3,70.8 м²,6.2 м²,56 м²,5 из 5,балкон,,"изолированные, смежные",,раздельный,"во двор, на улицу",евро,,,свободная,,кирпичный,1969,5,,,,,,,,,,,,,
3060000.0,https://www.avito.ru/kazan/kvartiry/kvartira-studiya_18_m_55_et._7652006097?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,студия,18 м²,,16 м²,5 из 5,,,,2.5 м,совмещенный,во двор,евро,,"кухня, хранение одежды, спальные места",свободная,возможна ипотека,кирпичный,1968,5,нет,нет,,детская площадка,открытая во дворе,"холодильник, стиральная машина",,,,,,,
6900000.0,https://www.avito.ru/kazan/kvartiry/1-k._kvartira_335_m_1626_et._7630301052?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,1,33.5 м²,16 м²,10 м²,16 из 26,балкон,,,3 м,совмещенный,"во двор, на солнечную сторону",,,,переуступка,возможна ипотека,кирпичный,,26,1,1,,"закрытая территория, детская площадка, спортивная площадка","наземная многоуровневая, открытая во дворе",,чистовая,,,,от 107 000 ₽ за 33.5 м²,,
9450000.0,https://www.avito.ru/kazan/kvartiry/2-k._kvartira_61_m_1518_et._7660762357?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,2,61 м²,11.5 м²,28.4 м²,15 из 18,,,изолированные,2.7 м,раздельный,на улицу,евро,,,свободная,,монолитно-кирпичный,2023,18,,,,,,,,,,,,,
22000000.0,https://www.avito.ru/kazan/kvartiry/3-k._kvartira_939_m_1819_et._7648872498?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,3,93.9 м²,26 м²,54.6 м²,18 из 19,лоджия,гардеробная,изолированные,,раздельный,"на улицу, на солнечную сторону",евро,,"кухня, хранение одежды",альтернативная,возможна ипотека,монолитно-кирпичный,2016,19,1,1,,"детская площадка, спортивная площадка",открытая во дворе,,,,,,,,
3050000.0,https://www.avito.ru/kazan/kvartiry/2-k._kvartira_30_m_49_et._7795076095?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJkYWVnVWNId0U3T1NwdHNrIjt9OkSjvz8AAAA,2,30 м²,8 м²,,4 из 9,балкон,,изолированные,,раздельный,"во двор, на улицу, на солнечную сторону",косметический,,,свободная,,кирпичный,1979,9,1,,,спортивная площадка,,,,,,,,,
