price,link,rooms,total_area,kitchen_area,floor,renovation,house_type,passenger_lift,cargo_lift,parking,city,floors_total,smart_floor_ratio,house_age,city_specific_age_group,age_city_premium,is_spb_historical
25700000.0,https://www.avito.ru/moskva/kvartiry/5-k._kvartira_928_m_45_et._7368006223?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,5,92.8,7.0,4,требует ремонта,кирпичный,1,0,за шлагбаумом во дворе,Москва,5,0.8,98.0,мск_старая,1.1,0
17500000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_37_m_45_et._7737772741?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,37.0,7.0,4,дизайнерский,кирпичный,0,0,открытая во дворе,Москва,5,0.8,67.0,мск_старая,1.0,0
23900000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_688_m_214_et._7591326930?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,68.8,14.0,2,косметический,кирпичный,1,1,открытая во дворе,Москва,14,0.14285714285714285,27.0,мск_советская,1.0,0
22463700.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_399_m_2743_et._7748050439?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,39.9,16.1,27,косметический,монолитный,1,1,открытая во дворе,Москва,43,0.627906976744186,8.0,мск_современная,1.0,0
27415638.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_468_m_516_et._7750197241?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,46.8,5.0,5,косметический,монолитно-кирпичный,1,1,открытая во дворе,Москва,16,0.3125,13.0,мск_современная,1.0,0
13300000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_392_m_812_et._7771841129?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,39.2,7.0,8,требует ремонта,блочный,1,0,за шлагбаумом во дворе,Москва,12,0.6666666666666666,61.0,мск_старая,1.0,0
8950000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_336_m_824_et._7684551026?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,33.6,14.6,8,косметический,монолитно-кирпичный,1,1,подземная,Москва,24,0.3333333333333333,13.0,мск_современная,1.0,0
12000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_47_m_59_et._7603650286?context=H4sIAAAAAAAA_wFzAIz_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MToieCI7czozMToiMnh2ZXAyaGR3NDF2YjFkZTRmZWZ5dnc1N3Njb2dxaSI7fQgGOf5zAAAA,2,47.0,6.1,5,требует ремонта,панельный,1,0,открытая во дворе,Москва,9,0.5555555555555556,51.0,мск_советская,1.0,0
11000000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_39_m_1017_et._7760649397?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,1,39.0,8.5,10,косметический,панельный,1,1,открытая во дворе,Москва,17,0.5882352941176471,35.0,мск_советская,1.0,0
16000000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_518_m_1112_et._7356044599?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,2,51.8,9.0,11,евро,панельный,1,0,открытая во дворе,Москва,12,1.0999999999999999,39.0,мск_советская,1.0,0
20500000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_35_m_416_et._7764723063?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,2,35.0,15.0,4,дизайнерский,монолитно-кирпичный,1,1,подземная,Москва,16,0.25,3.0,мск_новостройка,1.6,0
15063200.0,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_396_m_820_et._7566870664?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,2,39.6,8.4,8,косметический,монолитный,1,1,открытая во дворе,Москва,20,0.4,8.0,мск_современная,1.0,0
14700000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_20_m_828_et._7753376365?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,0,20.0,4.2,8,косметический,монолитный,2,2,подземная,Москва,28,0.2857142857142857,8.0,мск_современная,1.0,0
11184996.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_257_m_1723_et._7778127271?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,0,25.7,5.4,17,косметический,монолитно-кирпичный,1,1,открытая во дворе,Москва,23,0.7391304347826086,13.0,мск_современная,1.0,0
15900000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_732_m_222_et._7758298906?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,3,73.2,10.0,2,требует ремонта,панельный,1,1,открытая во дворе,Москва,22,0.09090909090909091,28.0,мск_советская,1.0,0
11100000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_289_m_44_et._7504359949?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,0,28.9,6.1,4,дизайнерский,кирпичный,0,0,открытая во дворе,Москва,4,1.1,68.0,мск_старая,1.0,0
